כמות הלייקים פחות דיסלייקטים,כמות תגובות,אורך התשובה,אורך בהשווה לממוצע (100%=ממוצע),אחוז בטחון (בין 0 ל100)
232,1,57,0.27,95
26,1,161,1.07,85
54,0,125,0.59,80
154,0,190,1.12,95
45,1,52,0.59,75
26,0,33,0.21,60
35,1,10,0.09,78
33,0,150,1.00,70
63,0,6,0.06,75
27,0,48,0.95,60
27,0,78,0.30,70
42,0,59,0.39,65
-4,0,744,1.17,0
72,37,85,0.80,5
87,0,5,0.10,80
54,1,12,0.05,50
3,7,188,0.76,8
31,1,93,0.87,60
89,0,100,0.44,85
793,3,33,0.24,100
93,1,178,1.05,5
28,0,72,0.64,68
31,0,7,0.08,60
41,2,136,0.85,20
45,0,40,0.13,50
