כמות הלייקים פחות דיסלייקטים,כמות תגובות,אורך התשובה,אורך בהשווה לממוצע (100%=ממוצע),אחוז בטחון (בין 0 ל100)
232,1,57,0.27,80
26,1,161,1.07,50
54,0,125,0.59,50
154,0,190,1.12,80
45,1,52,0.59,50
26,0,33,0.21,80
35,1,10,0.09,80
33,0,150,1.00,50
63,0,6,0.06,100
27,0,48,0.95,50
27,0,78,0.30,85
42,0,59,0.39,50
-4,0,744,1.17,100
72,37,85,0.80,65
87,0,5,0.10,100
54,1,12,0.05,100
3,7,188,0.76,50
31,1,93,0.87,50
89,0,100,0.44,70
793,3,33,0.24,100
93,1,178,1.05,50
28,0,72,0.64,60
31,0,7,0.08,100
41,2,136,0.85,50
45,0,40,0.13,83.43701
