כמות הלייקים פחות דיסלייקטים,כמות תגובות,אורך התשובה,אורך בהשווה לממוצע (100%=ממוצע),אחוז בטחון (בין 0 ל100)
232,1,57,0.27,65
26,1,161,1.07,60
54,0,125,0.59,63
154,0,190,1.12,83
45,1,52,0.59,50
26,0,33,0.21,45
35,1,10,0.09,54
33,0,150,1.00,70
63,0,6,0.06,80
27,0,48,0.95,56
27,0,78,0.30,60
42,0,59,0.39,62
-4,0,744,1.17,89
72,37,85,0.80,90
87,0,5,0.10,82
54,1,12,0.05,70
3,7,188,0.76,68
31,1,93,0.87,72
89,0,100,0.44,75
793,3,33,0.24,92
93,1,178,1.05,80
28,0,72,0.64,73
31,0,7,0.08,76
41,2,136,0.85,81
45,0,40,0.13,77
