כמות הלייקים פחות דיסלייקטים,כמות תגובות,אורך התשובה,אורך בהשווה לממוצע (100%=ממוצע),אחוז בטחון (בין 0 ל100)
26,3,441,1.01,100
41,1,188,0.66,100
107,1,110,0.33,100
47,0,15,0.15,100
46,0,262,1.70,100
72,0,57,0.52,100
117,0,68,0.24,100
3,7,93,0.58,100
112,1,170,0.80,100
28,0,489,2.89,100
54,9,83,0.38,90
43,0,44,0.29,100
70,0,40,0.33,100
35,0,113,0.36,100
28,1,8,0.07,90
43,12,139,1.30,100
1437,0,48,0.23,100
30,0,177,1.46,100
7,8,161,1.26,100
26,2,75,0.35,100
47,0,21,0.41,90
22,8,42,0.39,100
83,2,130,0.94,100
6,6,249,1.74,100
30,1,52,0.20,100
