כמות הלייקים פחות דיסלייקטים,כמות תגובות,אורך התשובה,אורך בהשווה לממוצע (100%=ממוצע),אחוז בטחון (בין 0 ל100)
26,3,441,1.01,70
41,1,188,0.66,80
107,1,110,0.33,90
47,0,15,0.15,80
46,0,262,1.70,70
72,0,57,0.52,75
117,0,68,0.24,80
3,7,93,0.58,60
112,1,170,0.80,80
28,0,489,2.89,70
54,9,83,0.38,70
43,0,44,0.29,70
70,0,40,0.33,75
35,0,113,0.36,70
28,1,8,0.07,80
43,12,139,1.30,70
1437,0,48,0.23,90
30,0,177,1.46,70
7,8,161,1.26,700
26,2,75,0.35,70
47,0,21,0.41,75
22,8,42,0.39,70
83,2,130,0.94,80
6,6,249,1.74,60
30,1,52,0.20,70
